d_goal,x_gt,y_gt,x_tag,y_tag,err_tag_x,err_tag_y,err_tag_norm,dist_final,err_approach
0.4,0.40373472328642335,-0.00014508216801010213,0.4157996744029365,2.366252886867746e-05,0.012064951116513178,0.00016874469687877959,0.012066131120478399,0.40373474935407816,0.0037347493540781374
0.41000000000000003,0.41267339881201537,-0.00015770320938397783,0.42705794556578475,-4.734948521857139e-05,0.014384546753769378,0.00011035372416540644,0.014384970047094792,0.4126734289451684,0.0026734289451683657
0.42000000000000004,0.4197820436297956,-0.00016075679449576436,0.4357117384115241,-4.287829962416582e-05,0.01592969478172851,0.00011787849487159853,0.015930130921576937,0.4197820744109431,-0.00021792558905692205
0.43000000000000005,0.42804768568694274,-0.000183160692785279,0.4462229600914302,-3.140921780755502e-05,0.018175274404487463,0.00015175147497772397,0.01817590790548233,0.4280477248739761,-0.0019522751260239724
0.44,0.43700459015577725,-0.0001869767702764661,0.4574563768571119,-3.199235603343956e-05,0.02045178670133463,0.00015498441424302654,0.020452373931784697,0.43700463015571295,-0.0029953698442870547
0.45,0.444836510951084,-0.00019779455766884637,0.4669880921058964,-1.7296757873775707e-06,0.022151581154812416,0.0001960648818814688,0.022152448828428605,0.4448365549253129,-0.005163445074687134
0.46,0.4444641132832722,-0.00018910964581735483,0.46773415833473,-2.1301181668055323e-05,0.0232700450514578,0.0001678084641492995,0.02327065010646492,0.44446415351425533,-0.015535846485744687
0.47000000000000003,0.4608425265555924,-0.00022764893520621927,0.4870412861151397,1.4723196780477761e-05,0.026198759559547313,0.00024237213198669702,0.026199880662120114,0.4608425827830796,-0.009157417216920427
0.48000000000000004,0.4687366277506466,-0.0002408455423300311,0.49672070055927653,-8.963076167857367e-05,0.027984072808629912,0.00015121478065145742,0.027984481357863102,0.468736689626088,-0.011263310373912039
0.49,0.47648947759687005,-0.0002472663859971046,0.506588180499312,-5.702151874757997e-05,0.03009870290244193,0.00019024486724952464,0.030099304136789958,0.47648954175428004,-0.013510458245719947
0.5,0.48439160846061574,-0.0002603520662232563,0.5161654384182324,-4.8164556781210765e-05,0.03177382995761663,0.00021218750944204554,0.03177453845006563,0.48439167842796477,-0.015608321572035233
0.51,0.492513343046922,-0.000281281458200692,0.52633880455282,-1.564212219295318e-05,0.03382546150589799,0.0002656393360077388,0.033826504554030135,0.4925134233688599,-0.017486576631140116
0.52,0.5005360217061856,-0.00028854153287610914,0.536314609134644,-9.828584556279701e-05,0.03577858742845841,0.00019025568731331213,0.03577909327529692,0.5005361048732362,-0.01946389512676383
0.53,0.5084135743535939,-0.0002932554355774552,0.546461162539599,1.8887852661363682e-05,0.038047588186005066,0.0003121432882388189,0.03804886857981752,0.5084136589291715,-0.021586341070828574
0.54,0.5173046066192255,-0.00031485236913721994,0.5571931724344725,-2.8339710909279155e-06,0.039888565815247023,0.000312018398046292,0.03988978613978787,0.5173047024351181,-0.022695297564881978
0.55,0.5239372092333536,-0.0003356605540258142,0.5658113844961377,-2.652605595038666e-06,0.04187417526278403,0.00033300794843077556,0.041875499378897826,0.5239373167538676,-0.02606268324613248
0.56,0.534174133508759,-0.000330593072600909,0.5784827492667,3.68793356426456e-05,0.04430861575794098,0.0003674724082435546,0.04431013954340108,0.534174235808517,-0.02582576419148308
0.5700000000000001,0.540670531013685,-0.0003595676994461156,0.5857291929737038,-9.334210117606438e-05,0.04505866196001884,0.0002662255982700512,0.045059448439771464,0.5406706505771796,-0.029329349422820505
0.5800000000000001,0.5494924995896788,-0.0003779479950939947,0.5963557293592447,-6.840871751171496e-05,0.04686322976956592,0.0003095392775822797,0.04686425203712842,0.5494926295684049,-0.030507370431595127
0.5900000000000001,0.55687427280989,-0.00039006492356877124,0.6070764746907995,-4.932353076620483e-05,0.050202201880909514,0.0003407413928025664,0.05020335823815339,0.5568744094211803,-0.03312559057881981
0.4,0.4042185599547864,-0.00016087711446444072,0.4165516162380626,-3.399539298650511e-05,0.01233305628327619,0.0001268817214779356,0.012333708941664853,0.4042185919689583,0.004218591968958296
0.41000000000000003,0.41278891750449564,-0.00016434402859126697,0.4271725731244789,-8.384087152408657e-05,0.014383655619983282,8.05031570671804e-05,0.01438388090024992,0.4127889502197134,0.002788950219713371
0.42000000000000004,0.4203210110469166,-0.00016319329345311606,0.4368306326162579,-2.144789402669829e-05,0.01650962156934127,0.00014174539942641778,0.016510230044463857,0.4203210427275242,0.00032104272752414564
0.43000000000000005,0.4281633552267491,-0.00017699176181027232,0.4462512228035965,-7.380117193740447e-05,0.01808786757684744,0.00010319058987286786,0.01808816192362859,0.42816339180867746,-0.0018366081913225862
0.44,0.4359439069851663,-0.00019005100582878984,0.45599299325536835,-4.1814057672766393e-05,0.020049086270202077,0.00014823694815602344,0.020049634272544824,0.4359439484118069,-0.00405605158819311
0.45,0.4445511250500669,-0.0002012174291696452,0.46676289377997143,-3.955415706460588e-05,0.022211768729904546,0.00016166327210503933,0.02221235703666572,0.4445511705886444,-0.005448829411355605
0.46,0.4525706488025162,-0.00020099853442238696,0.4767615384208985,-3.0422519814440933e-05,0.02419088961838234,0.00017057601460794604,0.024191490997983525,0.45257069343688316,-0.007429306563116855
0.47000000000000003,0.46093952922086134,-0.00022562389738940925,0.4871939384751639,-4.743063067828152e-05,0.026254409254302558,0.00017819326671112773,0.026255013961769456,0.46093958444083794,-0.009060415559162094
0.48000000000000004,0.46830796837503896,-0.00022710567774736343,0.49645991901581343,-4.022705447122021e-05,0.02815195064077447,0.00018687862327614323,0.028152570903923493,0.4683080234424191,-0.011691976557580919
