rep,pose_id,x_des,y_des,z_des,x_tcp,y_tcp,z_tcp,err_x,err_y,err_z,err_norm,err_ang_rad,err_ang_deg
0,0,0.3,0.0,0.15,0.29502925828300874,0.001134460012240594,0.12535137333701468,-0.004970741716991245,0.001134460012240594,-0.024648626662985312,0.025170420519086294,0.01525060917257274,0.8737955405919186
0,1,0.4,0.1,0.12,0.39902612909111557,0.10413906506124812,0.09633802679067144,-0.0009738709088844555,0.004139065061248115,-0.023661973209328557,0.02404099125010029,0.04245787164693702,2.432656852477653
0,2,0.25,-0.2,0.1,0.2525286503317109,-0.19583547384278643,0.07477063316275565,0.002528650331710902,0.004164526157213577,-0.02522936683724436,0.02569549185406699,0.05111333105030347,2.928578146037372
0,3,0.35,0.25,0.1,0.34701908794307706,0.2525961133912993,0.07454504659540742,-0.002980912056922913,0.0025961133912992818,-0.025454953404592584,0.025760052295396674,0.07814714097007343,4.477501358599089
0,4,0.5,0.0,0.05,0.49958523225904483,0.0056466117395812705,0.025017111662656244,-0.00041476774095516866,0.0056466117395812705,-0.02498288833734376,0.025616419853146943,0.09525176349964289,5.457524039707802
0,5,0.0,0.0,0.15,0.0010069500152685984,-6.084386480372578e-05,0.12638570070748206,0.0010069500152685984,-6.084386480372578e-05,-0.023614299292517932,0.02363583680316283,0.0721290088809502,4.132687789340079
0,6,0.2,0.0,0.6,0.19821803022431467,0.0018712612264680827,0.6222469062633098,-0.0017819697756853436,0.0018712612264680827,0.02224690626330983,0.022396470104631062,0.06076968771161669,3.4818466282036584
0,7,0.3,0.3,0.3,0.30784258231923367,0.32231138780161683,0.2901728776378628,0.007842582319233682,0.022311387801616844,-0.009827122362137175,0.025610085064062364,0.12369642254734563,7.08728295282978
1,0,0.3,0.0,0.15,0.2967769988314458,-0.0033009012652062105,0.12598025671341045,-0.0032230011685541737,-0.0033009012652062105,-0.02401974328658954,0.024458776609814416,0.033222952390020405,1.9035349549122405
1,1,0.4,0.1,0.12,0.3982523338285796,0.09639726163808711,0.0939712567784354,-0.0017476661714204145,-0.0036027383619128966,-0.026028743221564593,0.02633494891670137,0.06320760827558292,3.6215291873070763
1,2,0.25,-0.2,0.1,0.24911585199201663,-0.19501663824347212,0.07522622474470532,-0.0008841480079833652,0.004983361756527888,-0.024773775255294686,0.025285481061199863,0.042990405246195455,2.4631687801640725
1,3,0.35,0.25,0.1,0.34643017373839086,0.2459726138524856,0.07421569721720807,-0.0035698262616091214,-0.004027386147514411,-0.025784302782791937,0.026339965237523702,0.0537212455352501,3.078000639355848
1,4,0.5,0.0,0.05,0.4934692177955241,0.0001749345070769699,0.022871145725030656,-0.006530782204475893,0.0001749345070769699,-0.027128854274969347,0.027904416362944915,0.07559085344930314,4.331036872436991
1,5,0.0,0.0,0.15,-0.001401387936408316,-0.00207003084339789,0.12398818763050436,-0.001401387936408316,-0.00207003084339789,-0.026011812369495638,0.026131653192761756,0.02790479610998036,1.598827045274952
1,6,0.2,0.0,0.6,0.2043713215629366,0.00044380449846253655,0.6243034033930853,0.004371321562936598,0.00044380449846253655,0.024303403393085343,0.024697385107061074,0.0518252678156031,2.969369117969237
1,7,0.3,0.3,0.3,0.31199060051388494,0.32112801171968514,0.2932285973892923,0.011990600513884953,0.021128011719685147,-0.0067714026107076886,0.02521942253952358,0.12431546883003339,7.122751692151051
2,0,0.3,0.0,0.15,0.3027134575673808,-0.005408221024174513,0.12543568032581526,0.0027134575673807837,-0.005408221024174513,-0.024564319674184737,0.025298567304727727,0.09867696464321463,5.653773609217845
2,1,0.4,0.1,0.12,0.39707247476134755,0.106798972407982,0.09469126575598215,-0.002927525238652473,0.006798972407981996,-0.025308734244017847,0.02636908149446562,0.033948505758226,1.9451061007219226
2,2,0.25,-0.2,0.1,0.24959022315708895,-0.1992131086340082,0.07565330720512925,-0.0004097768429110471,0.0007868913659918042,-0.024346692794870756,0.02436285215508788,0.08359617204777811,4.78970784178719
2,3,0.35,0.25,0.1,0.34433403781060284,0.2572411535408913,0.07467367999642412,-0.0056659621893971335,0.007241153540891276,-0.02532632000357589,0.02694364335159535,0.07048178578318583,4.038308857921716
2,4,0.5,0.0,0.05,0.5003891271498188,0.007656711905935425,0.024546749551162803,0.0003891271498187576,0.007656711905935425,-0.0254532504488372,0.026582787956880113,0.08757169896986516,5.017488755763413
2,5,0.0,0.0,0.15,0.0026000736775899647,0.004318468789413546,0.1255478448638021,0.0026000736775899647,0.004318468789413546,-0.02445215513619789,0.02496632625395102,0.0754421042890562,4.3225141733487265
2,6,0.2,0.0,0.6,0.1997858042810802,-0.00016260604344518433,0.622665171369509,-0.00021419571891981293,-0.00016260604344518433,0.022665171369509074,0.022666766724448863,0.11943949107670153,6.843378745885454
2,7,0.3,0.3,0.3,0.3099924958483264,0.3203267847435166,0.2859239304347834,0.0099924958483264,0.020326784743516624,-0.014076069565216565,0.02666765617171664,0.12168013623214564,6.971758256678837
3,0,0.3,0.0,0.15,0.29783308121099594,0.0006193406468226119,0.12555174303462172,-0.0021669187890040464,0.0006193406468226119,-0.02444825696537828,0.024551912115354946,0.04117472705100638,2.3591380826258077
3,1,0.4,0.1,0.12,0.40234025383647665,0.1068742041806982,0.09553702478003923,0.0023402538364766245,0.006874204180698201,-0.02446297521996077,0.02551800595167042,0.09196653304530249,5.269294199946251
3,2,0.25,-0.2,0.1,0.24774428259655973,-0.20170840264897105,0.07418949292252933,-0.0022557174034402716,-0.0017084026489710413,-0.02581050707747068,0.025965153113574328,0.03282156167499054,1.880536961005291
3,3,0.35,0.25,0.1,0.34682819602200876,0.2542473458480705,0.07508673163826103,-0.0031718039779912166,0.004247345848070516,-0.024913268361738974,0.025470987960657256,0.04102074402476796,2.3503155051056943
3,4,0.5,0.0,0.05,0.4999614205865407,-0.0026104185232149655,0.023663886900457537,-3.857941345930538e-05,-0.0026104185232149655,-0.026336113099542466,0.0264651965122003,0.11672125333378541,6.687635195503194
3,5,0.0,0.0,0.15,-0.002321295545640839,0.0006124787101252163,0.12489864375726092,-0.002321295545640839,0.0006124787101252163,-0.02510135624273907,0.0252159003092387,0.07130272013463292,4.085344931516943
3,6,0.2,0.0,0.6,0.2009194052132369,0.0007758649166087401,0.6247049282924756,0.0009194052132368846,0.0007758649166087401,0.024704928292475614,0.024734202114709773,0.06543397447645398,3.7490905742675635
3,7,0.3,0.3,0.3,0.30593844665411773,0.3231018506125387,0.28930796066355474,0.005938446654117746,0.02310185061253872,-0.010692039336445247,0.026139631894117225,0.11759978044121981,6.737971090947021
4,0,0.3,0.0,0.15,0.3012094104630406,-0.001553650006393272,0.12449314264632774,0.0012094104630406277,-0.001553650006393272,-0.025506857353672252,0.025582733905332757,0.08029311732656455,4.600456746760893
4,1,0.4,0.1,0.12,0.3985996092073323,0.10141952690468939,0.09503130683834468,-0.0014003907926677384,0.0014195269046893833,-0.024968693161655314,0.025048189339874818,0.03372007281727304,1.9320178573035567
4,2,0.25,-0.2,0.1,0.25476321684450653,-0.19467060830663246,0.07542906701859974,0.004763216844506535,0.005329391693367547,-0.02457093298140027,0.02558947826950736,0.06717439787465343,3.8488094895502085
4,3,0.35,0.25,0.1,0.35545608603843604,0.252645040060408,0.07397437923819147,0.005456086038436059,0.0026450400604079993,-0.026025620761808532,0.026722613042467598,0.11299424239907428,6.4740931987451384
4,4,0.5,0.0,0.05,0.5047767804613761,0.002918430106198931,0.023560605857806644,0.0047767804613760845,0.002918430106198931,-0.02643939414219336,0.027025477395731627,0.11054297238994154,6.333645772774838
4,5,0.0,0.0,0.15,0.002617882940104427,-0.0009190569677249409,0.12511679286732696,0.002617882940104427,-0.0009190569677249409,-0.02488320713267303,0.0250374114877222,0.07587156741467033,4.347120597902912
4,6,0.2,0.0,0.6,0.19278922274155444,-0.0018033445588954448,0.6220143530974949,-0.007210777258445572,-0.0018033445588954448,0.022014353097494888,0.02323529863311846,0.08435677934353454,4.833287429700892
4,7,0.3,0.3,0.3,0.3057529253348586,0.3204454845184658,0.285091900459473,0.005752925334858605,0.020445484518465784,-0.014908099540526965,0.025949285520290195,0.11954845893041077,6.849622144005593
